Designator,Mid X,Mid Y,Rotation,Layer
D1,129.69,-76.25,0.0,bottom
D16,188.7875,-70.3475,180.0,top
D17,158.011172,-80.748123,180.0,top
D18,157.9,-61.75,180.0,top
D19,139.0875,-61.5475,180.0,top
D2,129.81,-95.25,0.0,bottom
D20,139.028013,-80.91332,180.0,top
D3,148.69,-95.25,0.0,bottom
D4,167.5,-95.25,0.0,bottom
D5,167.44,-76.0,0.0,bottom
D6,167.56,-57.0,0.0,bottom
D7,148.56,-57.0,0.0,bottom
D8,148.44,-76.0,0.0,bottom
D9,129.81,-57.0,0.0,bottom
J1,128.0,-32.69,0.0,top
SW1,187.3,-83.8,0.0,top
SW10,167.46,-88.41,0.0,top
SW2,129.5,-50.16,0.0,top
SW3,129.5,-69.16,0.0,top
SW4,129.5,-88.41,0.0,top
SW5,148.5,-50.16,0.0,top
SW6,148.5,-69.16,0.0,top
SW7,148.5,-88.41,0.0,top
SW8,167.46,-50.16,0.0,top
SW9,167.46,-69.16,0.0,top
U1,190.12,-35.13,0.0,top
